I0,I1,I2,I3,I4
1047703.000000,32232.000000,0.000000,0.000000,0.000000
1047713.000000,32232.000000,0.000000,0.000000,0.000000
1047723.000000,32232.000000,0.000000,0.000000,0.000000
1047733.000000,32232.000000,0.000000,0.000000,0.000000
1047743.000000,32232.000000,0.000000,0.000000,0.000000
1047753.000000,32232.000000,0.000000,0.000000,0.000000
1047763.000000,32232.000000,0.000000,0.000000,0.000000
1047773.000000,32232.000000,0.000000,0.000000,0.000000
1047783.000000,32232.000000,0.000000,0.000000,0.000000
1047793.000000,32232.000000,0.000000,0.000000,0.000000
1047803.000000,32232.000000,0.000000,0.000000,0.000000
1047813.000000,32232.000000,0.000000,0.000000,0.000000
1047823.000000,32232.000000,0.000000,0.000000,0.000000
1047833.000000,32232.000000,0.000000,0.000000,0.000000
1047843.000000,32232.000000,0.000000,0.000000,0.000000
1047853.000000,32232.000000,0.000000,0.000000,0.000000
1047863.000000,32232.000000,0.000000,0.000000,0.000000
1047873.000000,32232.000000,0.000000,0.000000,0.000000
1047883.000000,32232.000000,0.000000,0.000000,0.000000
1047893.000000,32232.000000,0.000000,0.000000,0.000000
1047903.000000,32232.000000,0.000000,0.000000,0.000000
1047913.000000,32232.000000,0.000000,0.000000,0.000000
1047923.000000,32232.000000,0.000000,0.000000,0.000000
1047933.000000,32232.000000,0.000000,0.000000,0.000000
1047943.000000,32232.000000,0.000000,0.000000,0.000000
1047953.000000,32232.000000,0.000000,0.000000,0.000000
1047963.000000,32232.000000,0.000000,0.000000,0.000000
1047973.000000,32232.000000,0.000000,0.000000,0.000000
1047983.000000,32232.000000,0.000000,0.000000,0.000000
1047993.000000,32232.000000,0.000000,0.000000,0.000000
1048003.000000,32232.000000,0.000000,0.000000,0.000000
1048013.000000,32232.000000,0.000000,0.000000,0.000000
1048023.000000,32232.000000,0.000000,0.000000,0.000000
1048033.000000,32232.000000,0.000000,0.000000,0.000000
1048043.000000,32232.000000,0.000000,0.000000,0.000000
1048053.000000,32232.000000,0.000000,0.000000,0.000000
1048063.000000,32232.000000,0.000000,0.000000,0.000000
1048073.000000,32232.000000,0.000000,0.000000,0.000000
1048083.000000,32232.000000,0.000000,0.000000,0.000000
1048093.000000,32232.000000,0.000000,0.000000,0.000000
1048103.000000,32232.000000,0.000000,0.000000,0.000000
1048113.000000,32232.000000,0.000000,0.000000,0.000000
1048123.000000,32232.000000,0.000000,0.000000,0.000000
1048133.000000,32232.000000,0.000000,0.000000,0.000000
1048143.000000,32232.000000,0.000000,0.000000,0.000000
1048153.000000,32232.000000,0.000000,0.000000,0.000000
1048163.000000,32232.000000,0.000000,0.000000,0.000000
1048173.000000,32232.000000,0.000000,0.000000,0.000000
1048183.000000,32232.000000,0.000000,0.000000,0.000000
1048193.000000,32232.000000,0.000000,0.000000,0.000000
1048203.000000,32232.000000,0.000000,0.000000,0.000000
1048213.000000,32232.000000,0.000000,0.000000,0.000000
1048223.000000,32232.000000,0.000000,0.000000,0.000000
1048233.000000,32232.000000,0.000000,0.000000,0.000000
1048243.000000,32232.000000,0.000000,0.000000,0.000000
1048253.000000,32232.000000,0.000000,0.000000,0.000000
1048263.000000,32232.000000,0.000000,0.000000,0.000000
1048273.000000,32232.000000,0.000000,0.000000,0.000000
1048283.000000,32232.000000,0.000000,0.000000,0.000000
1048293.000000,32232.000000,0.000000,0.000000,0.000000
1048303.000000,32232.000000,0.000000,0.000000,0.000000
1048313.000000,32232.000000,0.000000,0.000000,0.000000
1048323.000000,32232.000000,0.000000,0.000000,0.000000
1048333.000000,32232.000000,0.000000,0.000000,0.000000
1048343.000000,32232.000000,0.000000,0.000000,0.000000
1048353.000000,32232.000000,0.000000,0.000000,0.000000
1048363.000000,32232.000000,0.000000,0.000000,0.000000
1048373.000000,32232.000000,0.000000,0.000000,0.000000
1048383.000000,32232.000000,0.000000,0.000000,0.000000
1048393.000000,32232.000000,0.000000,0.000000,0.000000
1048403.000000,32232.000000,0.000000,0.000000,0.000000
1048413.000000,32232.000000,0.000000,0.000000,0.000000
1048423.000000,32232.000000,0.000000,0.000000,0.000000
1048433.000000,32232.000000,0.000000,0.000000,0.000000
1048443.000000,32232.000000,0.000000,0.000000,0.000000
1048453.000000,32232.000000,0.000000,0.000000,0.000000
1048463.000000,32232.000000,0.000000,0.000000,0.000000
1048473.000000,32232.000000,0.000000,0.000000,0.000000
1048483.000000,32232.000000,0.000000,0.000000,0.000000
1048493.000000,32232.000000,0.000000,0.000000,0.000000
1048503.000000,32232.000000,0.000000,0.000000,0.000000
1048513.000000,32232.000000,0.000000,0.000000,0.000000
1048523.000000,32232.000000,0.000000,0.000000,0.000000
1048533.000000,32232.000000,0.000000,0.000000,0.000000
1048543.000000,32232.000000,0.000000,0.000000,0.000000
1048553.000000,32232.000000,0.000000,0.000000,0.000000
1048563.000000,32232.000000,0.000000,0.000000,0.000000
1048573.000000,32232.000000,0.000000,0.000000,0.000000
1048583.000000,32232.000000,0.000000,0.000000,0.000000
1048593.000000,32232.000000,0.000000,0.000000,0.000000
1048603.000000,32232.000000,0.000000,0.000000,0.000000
1048613.000000,32232.000000,0.000000,0.000000,0.000000
1048623.000000,32232.000000,0.000000,0.000000,0.000000
1048633.000000,32232.000000,0.000000,0.000000,0.000000
1048643.000000,32232.000000,0.000000,0.000000,0.000000
1048653.000000,32232.000000,0.000000,0.000000,0.000000
1048663.000000,32232.000000,0.000000,0.000000,0.000000
1048673.000000,32232.000000,0.000000,0.000000,0.000000
1048683.000000,32232.000000,0.000000,0.000000,0.000000
1048693.000000,32232.000000,0.000000,0.000000,0.000000
1048703.000000,32232.000000,0.000000,0.000000,0.000000
1048713.000000,32232.000000,0.000000,0.000000,0.000000
1048723.000000,32232.000000,0.000000,0.000000,0.000000
1048733.000000,32232.000000,0.000000,0.000000,0.000000
1048743.000000,32232.000000,0.000000,0.000000,0.000000
1048753.000000,32232.000000,0.000000,0.000000,0.000000
1048763.000000,32232.000000,0.000000,0.000000,0.000000
1048773.000000,32232.000000,0.000000,0.000000,0.000000
1048783.000000,32232.000000,0.000000,0.000000,0.000000
1048793.000000,32232.000000,0.000000,0.000000,0.000000
1048803.000000,32232.000000,0.000000,0.000000,0.000000
1048813.000000,32232.000000,0.000000,0.000000,0.000000
1048823.000000,32232.000000,0.000000,0.000000,0.000000
1048833.000000,32232.000000,0.000000,0.000000,0.000000
1048843.000000,32232.000000,0.000000,0.000000,0.000000
1048853.000000,32232.000000,0.000000,0.000000,0.000000
1048863.000000,32232.000000,0.000000,0.000000,0.000000
1048873.000000,32232.000000,0.000000,0.000000,0.000000
1048883.000000,32232.000000,0.000000,0.000000,0.000000
1048893.000000,32232.000000,0.000000,0.000000,0.000000
1048903.000000,32232.000000,0.000000,0.000000,0.000000
1048913.000000,32232.000000,0.000000,0.000000,0.000000
1048923.000000,32232.000000,0.000000,0.000000,0.000000
1048933.000000,32232.000000,0.000000,0.000000,0.000000
1048943.000000,32232.000000,0.000000,0.000000,0.000000
1048953.000000,32232.000000,0.000000,0.000000,0.000000
1048963.000000,32232.000000,0.000000,0.000000,0.000000
1048973.000000,32232.000000,0.000000,0.000000,0.000000
1048983.000000,32232.000000,0.000000,0.000000,0.000000
1048993.000000,32232.000000,0.000000,0.000000,0.000000
1049003.000000,32232.000000,0.000000,0.000000,0.000000
1049013.000000,32232.000000,0.000000,0.000000,0.000000
1049023.000000,32232.000000,0.000000,0.000000,0.000000
1049033.000000,32232.000000,0.000000,0.000000,0.000000
1049043.000000,32232.000000,0.000000,0.000000,0.000000
1049053.000000,32232.000000,0.000000,0.000000,0.000000
1049063.000000,32232.000000,0.000000,0.000000,0.000000
1049073.000000,32232.000000,0.000000,0.000000,0.000000
1049083.000000,32232.000000,0.000000,0.000000,0.000000
1049093.000000,32232.000000,0.000000,0.000000,0.000000
1049103.000000,32232.000000,0.000000,0.000000,0.000000
1049113.000000,32232.000000,0.000000,0.000000,0.000000
1049123.000000,32232.000000,0.000000,0.000000,0.000000
1049133.000000,32232.000000,0.000000,0.000000,0.000000
1049143.000000,32232.000000,0.000000,0.000000,0.000000
1049153.000000,32232.000000,0.000000,0.000000,0.000000
1049163.000000,32232.000000,0.000000,0.000000,0.000000
1049173.000000,32232.000000,0.000000,0.000000,0.000000
1049183.000000,32232.000000,0.000000,0.000000,0.000000
1049193.000000,32232.000000,0.000000,0.000000,0.000000
1049203.000000,32232.000000,0.000000,0.000000,0.000000
1049213.000000,32232.000000,0.000000,0.000000,0.000000
1049223.000000,32232.000000,0.000000,0.000000,0.000000
