I0,I1,I2,I3,I4,I5,I6
208923.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208933.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208943.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208953.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208963.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208973.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208983.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
208993.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209003.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209013.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209023.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209033.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209043.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209053.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209063.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209073.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209083.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209093.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209103.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209113.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209123.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209133.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209143.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209153.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209163.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209173.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209183.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209193.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209203.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209213.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209223.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209233.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209243.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209253.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209263.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209273.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209283.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209293.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209303.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209313.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209323.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209333.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209343.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209353.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209363.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209373.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209383.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209393.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209403.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209413.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209423.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209433.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209443.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209453.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209463.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209473.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209483.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209493.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209503.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209513.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209523.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209533.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209543.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209553.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209563.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209573.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209583.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209593.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209603.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209613.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209623.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209633.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209643.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209653.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209663.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209673.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209683.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209693.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209703.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209713.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209723.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209733.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209743.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209753.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209763.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209773.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209783.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209793.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209803.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209813.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209823.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209833.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209843.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209853.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209863.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209873.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209883.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209893.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209903.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209913.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209923.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209933.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209943.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209953.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209963.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209973.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209983.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
209993.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210003.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210013.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210023.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210033.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210043.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210053.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210063.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210073.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210083.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210093.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210103.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210113.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210123.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210133.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210143.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210153.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210163.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210173.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210183.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210193.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210203.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210213.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210223.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210233.000000,53878.000000,0.000000,0.000000,0.000000,0.000000,0.000000
