I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
90320.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90330.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90340.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90350.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90360.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90370.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90380.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90390.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90400.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90410.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90420.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90430.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90440.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90450.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90460.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90470.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90480.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90490.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90500.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90510.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90520.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90530.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90540.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90550.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90560.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90570.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90580.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90590.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90600.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90610.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90620.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90630.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90640.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90650.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90660.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90670.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90680.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90690.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
