I0,I1,I2,I3,I4,I5,I6
76600.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76610.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76620.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76630.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76640.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76650.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76660.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76670.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76680.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76690.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76700.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76710.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76720.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76730.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76740.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76750.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76760.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76770.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76780.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76790.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76800.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76810.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76820.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76830.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76840.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76850.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76860.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76870.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76880.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76890.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76900.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76910.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76920.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76930.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76940.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76950.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76960.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76970.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76980.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
76990.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77000.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77010.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77020.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77030.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77040.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77050.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77060.000000,65532.000000,1.000000,-4.000000,65534.000000,0.000000,-2.000000
77070.000000,65531.000000,-1.000000,-5.000000,65534.000000,0.000000,-2.000000
77080.000000,65532.000000,1.000000,-4.000000,65534.000000,0.000000,-2.000000
77090.000000,65531.000000,-1.000000,-5.000000,65534.000000,0.000000,-2.000000
